group,n,ari,degenerate
EL030,77,0.9341794681348871,False
EL033,74,0.9143469677544587,False
EL034,55,0.9001165107239222,False
EL035,40,0.9173943156569194,False
EL036,26,0.9704818670545992,False
EL037,51,0.9170637244682661,False
EL038,72,0.9092014731902138,False
EL040,30,0.918278315896786,False
EL042,103,0.8780675066884844,False
EL043,74,0.914836739441228,False
EL045,81,0.7341654001217299,False
EL046,86,0.9050775569936138,False
EL048,15,0.9198437579544305,False
PAT_2868,6,0.9571693505856153,False
PAT_3066,28,0.9211108757069487,False
PAT_3390,18,0.9487347827777489,False
PAT_3455,36,0.933100999409806,False
PAT_3780,47,0.9324479526062669,False
PAT_3965,80,0.9080457053377762,False
PAT_3975,67,0.9008032925550308,False
PAT_5515,12,0.929750970160515,False
PAT_5533,41,0.9323719688631296,False
PAT_6619,144,0.7152918836027172,False
PAT_6684,72,0.9297934369228582,False
PAT_6704,46,0.908213618079042,False
PAT_6854,143,0.8143274122907224,False
PAT_6953,156,0.8412308213796739,False
