group,n,ari,degenerate
EL030,77,0.7785151600157959,False
EL033,74,0.9031136388207412,False
EL034,55,0.8558716131288855,False
EL035,40,0.8734587739067364,False
EL036,26,0.8649135927215179,False
EL037,51,0.8354069060850373,False
EL038,72,0.7864158348523258,False
EL040,30,0.7854573818523715,False
EL042,103,0.7979701181277801,False
EL043,74,0.9009359241068565,False
EL045,83,0.68292475123167,False
EL046,86,0.9187593823738076,False
PAT_2868,6,0.8142923032066909,False
PAT_3066,28,0.807810057725596,False
PAT_3390,18,0.8703204491490842,False
PAT_3415,18,0.8836174185758828,False
PAT_3455,36,0.8290671846918399,False
PAT_3780,47,0.7358382339700288,False
PAT_3965,80,0.8497562434743358,False
PAT_3975,67,0.7660110379549478,False
PAT_5515,12,0.8606648002782732,False
PAT_5533,41,0.8083730756059142,False
PAT_6619,144,0.7265041622316809,False
PAT_6684,77,0.8982112091473197,False
PAT_6704,46,0.700699466671896,False
PAT_6854,146,0.9361868788674964,False
PAT_6953,156,0.785966242131519,False
